City,Cloudiness,Humidity,Latitude,Longitude,Temperature,Wind Speed
novyy urengoy,68,83,66.08,76.63,5.73,10.42
luanda,20,88,-8.83,13.24,75.2,4.7
roxana,1,48,38.85,-90.08,34.97,9.17
mount gambier,0,57,-37.83,140.78,68.55,6.4
bezhetsk,92,95,57.78,36.69,32.01,20.49
zhanakorgan,80,79,43.91,67.25,49.65,6.73
namtsy,20,62,62.72,129.66,0.87,3.49
koryukivka,92,100,51.77,32.25,32.82,19.15
montepuez,92,100,-13.13,39.0,73.41,7.74
hawkesbury,90,90,45.61,-74.6,32.95,8.05
jumla,0,61,29.28,82.18,43.71,1.03
narsaq,0,67,60.91,-46.05,19.4,1.12
kiama,90,60,-34.67,150.86,68.0,6.93
carauari,24,92,-4.88,-66.9,77.82,2.82
tessalit,0,35,20.2,1.01,60.9,5.95
arroyo,90,79,41.39,-78.88,26.1,9.17
kitimat,90,60,54.02,-128.69,42.8,17.22
chillan,0,62,-36.61,-72.1,53.6,13.87
chumikan,88,71,54.72,135.31,14.73,4.16
lac du bonnet,0,70,50.25,-96.06,7.08,2.93
mujiayingzi,0,52,42.12,118.78,64.59,4.27
batsfjord,90,100,70.63,29.72,24.8,17.22
lumsden,5,92,50.65,-104.86,15.8,12.75
tamiahua,92,100,21.28,-97.45,66.03,14.67
zalantun,0,83,48.0,122.72,35.52,3.83
barreirinhas,68,85,-2.75,-42.83,77.91,6.06
bilma,0,26,18.69,12.92,58.83,2.26
ust-maya,12,57,60.42,134.54,2.13,3.71
katakwi,92,100,1.91,33.96,65.85,4.61
balsas,44,94,-7.53,-46.04,69.09,2.93
novyy yarychiv,0,87,49.9,24.31,42.8,4.47
vao,92,100,59.1,26.19,37.77,9.42
tawang,68,54,27.59,91.87,42.18,1.7
krasnyy,20,87,53.81,40.7,13.74,15.23
matara,88,100,-13.74,-72.9,43.8,1.25
darhan,88,66,49.49,105.92,20.49,14.45
bolobo,92,100,-2.17,16.23,70.8,3.38
pochutla,0,100,15.74,-96.47,78.99,9.75
ghanzi,0,59,-21.7,21.65,67.83,15.23
dickinson,1,92,46.88,-102.79,23.0,6.93
shanhetun,68,99,44.7,127.2,37.77,3.71
san policarpo,36,90,12.18,125.51,82.23,15.35
wanning,75,70,48.64,13.53,46.4,9.17
fort nelson,75,76,58.81,-122.69,32.0,2.24
ilhabela,88,100,-23.78,-45.36,76.02,9.19
hervey bay,64,91,-25.3,152.85,79.08,16.58
valer,64,95,41.76,-6.18,40.2,3.6
aksu,0,77,52.04,76.93,3.2,11.18
arlit,0,20,18.74,7.39,58.47,3.94
puerto escondido,8,99,15.86,-97.07,81.33,9.75
coffs harbour,40,57,-30.3,153.13,80.6,9.17
si bun ruang,44,57,16.97,102.28,80.6,4.7
rockhampton,0,40,-23.38,150.51,87.8,13.87
new ulm,1,74,44.31,-94.46,26.37,17.22
lyuban,92,95,52.8,28.0,36.33,16.24
lhokseumawe,12,93,5.18,97.15,85.02,9.75
bure,0,51,10.52,10.33,61.08,2.93
paris,90,87,48.86,2.35,45.95,13.87
chapais,90,92,49.78,-74.86,26.6,4.7
matay,0,56,28.42,30.79,60.63,2.93
venice,1,62,27.1,-82.45,55.96,10.29
bayir,75,67,37.27,28.22,60.8,8.05
castro,92,80,-42.48,-73.76,53.16,7.4
progreso,0,71,-34.68,-56.22,55.4,7.07
yangcun,56,56,29.98,118.17,70.17,4.83
el limon,0,73,10.3,-67.63,69.63,4.83
silifke,24,94,36.38,33.93,52.35,1.7
jalu,0,70,29.03,21.55,58.2,11.43
salug,0,74,8.11,122.76,85.11,16.69
stokmarknes,0,73,68.56,14.91,26.33,5.82
almeirim,40,93,39.21,-8.63,57.2,8.05
muravlenko,80,89,63.79,74.5,13.2,12.77
jiazi,75,69,19.61,110.49,77.0,8.95
nairobi,75,93,-1.28,36.82,62.6,3.36
truth or consequences,1,54,33.13,-107.25,53.6,3.6
wasilla,1,86,61.58,-149.44,33.21,3.36
amapa,20,100,15.09,-87.97,77.0,3.36
ejido,0,82,8.55,-71.24,66.2,2.15
greensburg,1,70,30.83,-90.67,45.84,3.36
bukama,100,100,-9.2,25.85,69.9,3.71
bestobe,36,99,52.5,73.1,6.09,7.07
hami,0,57,42.84,93.51,65.13,6.62
krasnyy luch,48,90,55.97,38.97,26.43,16.13
coolum beach,92,96,-26.53,153.09,74.04,8.63
xining,0,20,36.62,101.77,55.95,1.59
mount darwin,48,81,-16.77,31.58,69.27,6.4
belyy yar,0,50,53.6,91.39,8.6,4.38
gigmoto,64,97,13.78,124.39,81.06,12.77
mali,8,26,27.53,102.2,63.51,1.92
bathsheba,20,78,13.22,-59.52,77.0,18.34
raudeberg,8,51,61.99,5.14,35.6,12.75
san jose,0,52,15.79,120.99,84.93,3.38
banda aceh,0,62,5.56,95.32,89.07,7.63
sinop,90,87,42.03,35.15,48.2,8.05
zyryanka,20,42,65.73,150.89,-13.53,2.93
manzanillo,12,98,20.34,-77.12,78.36,6.73
pisco,0,77,-13.71,-76.2,69.8,3.36
casa grande,0,28,32.88,-111.76,72.1,8.05
lengshuitan,32,79,26.41,111.6,73.23,10.87
nieuw amsterdam,20,94,5.88,-55.08,75.2,4.7
tromso,0,92,69.65,18.96,14.0,2.24
hay river,40,59,60.82,-115.79,37.4,6.93
beloha,36,63,-25.17,45.06,83.58,9.19
mitu,0,42,36.2,46.09,49.2,2.82
rio rancho,75,70,35.27,-106.63,40.08,3.36
sabzevar,44,83,36.21,57.68,47.49,3.94
soe,88,100,57.91,26.05,35.6,9.17
miri,0,55,10.31,9.75,59.19,2.59
bedesa,0,40,8.9,40.78,72.78,3.38
kysyl-syr,68,57,63.9,122.77,2.58,4.72
iralaya,92,93,15.0,-83.23,77.73,5.61
nishihara,0,36,35.74,139.53,59.41,10.29
fairbanks,1,73,64.84,-147.72,21.15,3.36
yerbogachen,64,52,61.28,108.01,4.11,6.85
roebourne,0,26,-20.77,117.15,101.31,11.1
porangatu,80,98,-13.44,-49.14,69.9,3.15
deniliquin,0,34,-35.53,144.96,79.26,11.88
mildura,0,40,-34.18,142.16,77.91,11.43
sao geraldo do araguaia,44,97,-6.4,-48.55,74.49,2.93
tapalpa,0,87,19.94,-103.76,53.07,1.14
krasnovishersk,68,85,60.4,57.08,8.97,10.09
omboue,92,100,-1.57,9.26,81.78,4.72
gornyak,0,97,51.0,81.46,12.21,6.4
sena madureira,32,96,-9.07,-68.66,74.94,2.15
roncesvalles,20,61,4.01,-75.61,77.0,6.93
birao,0,24,10.3,22.78,70.98,13.22
weyburn,0,64,49.67,-103.85,5.37,5.39
bingol,44,79,38.88,40.49,42.72,2.93
ilebo,48,94,-4.33,20.59,74.67,2.71
